recovered,Average_score
10148,909
3534,1061
1053,996
1513,318.5
9708,-253
1506,623
2152,-95
6294,7349
7672,8670
25904,23678
160,-48
2587,-148
8283,439
2927,741
40383,16813
119,-2
2034,-643
3550,755.25
15256,-3472
30451,9814
,
30,
1,
0,54577.38509
1919821,-1919821
10671,285379.1579
3772,68292.6484
1063,25864.89474
1533,32928.91076
9970,190907.492
1537,28185.75114
2287,14671.57208
6392,98166.46224
8716,120957.2494
26203,330816.222
163,2908.827103
2652,37649.22654
9204,59120.4897
3107,14933.34932
40736,363010.4027
125,4606.943662
2180,60109.85126
3905,33144.24429
16160,90083.22426
1843,2522
64727,87616
752,301
4230,420.5
604,118
518,171.5
1675,737
1399,125
22860,4242
1088,330
126,57
307,267
1420,632.5
1918,262
1393,475
1478,692
14656,2333
1809,443
1067,248.5
482,153.5
1329,342
1436,381.5
2763,909
777,254
1458,303
851,314
3211,561.5
2378,429
3793,1031
1588,435
917,305.5
3659,727
1590,332
243,93
750190,-750190
1571071,-1571071
1946477,-1946477
7181,865
17487,1011
10539,868
5468,760
6268,133
10969,1738.5
126780,11832
26694,2594
5236,420
9345,2008
40571,2611
18864,700
11968,884
26143,1760.5
80994,3523
20981,1113
5224,293
5443,195
42165,4182
17875,1457.5
28961,1079
9490,827.5
11061,350
23785,1316
16879,816
33177,924
30187,745
27984,814
6949,226
30745,907
17727,1417
7794,1254
4217,279.5
11895,656
5175,1033
4359,134
4995,790.5
5089,640
71664,5775
14757,2352
1937,561
4410,483.3333333
23353,2641
11143,745.5
6615,945
13173,1621
51030,3807
10511,1160
3519,317
3430,486
20118,2425
10626,987.5
19860,1580
3883,555
7480,682
12245,1494
11554,640
17023,825
22600,1131
18000,1467
4582,280
21073,1676
10429,1222
3064,792
1891052,-1891052
35388,10913
5220,396
13682,747
7079,909
4829,103
5252,66
6571,647
87156,7554
20213,1359
3169,322
5836,866
29078,2866
13112,2385.5
8606,610
17554,1706
59339,3423
13873,1361
4150,228
4347,298
26378,2929
12447,537
23439,1155
5609,466.6666667
8848,487
17019,1343
13235,936
18878,730
25660,1070
22684,1117
5553,225
24577,1354
13205,1175
4736,619
2430,360
8111,516
1779,625
2420,769.5
4265,208
2928,258
46197,4195
5881,1081
599,229.5
2185,481
9390,2530
5840,707
3575,484
6953,1329
35167,3095.5
6253,472
2471,158
1721,442
7753,1397
6436,612
11545,1005
1862,425.5
3650,1008
3565,822
8123,534
10208,485
12084,1815
7820,671
2609,-2
10804,1248
4511,861.6666667
966,324
1436482,-1436482
1127471,-1127471
6722,799
17025,827
10073,786
5406,67
6233,117
9818,2572
122211,8485
25408,2302
4895,455
8715,1454
39431,2015
18152,1774.5
11564,705
24811,2209
77827,2955
19994,972
5006,339
5293,324
39079,4371
16988,1011
28382,870
8741,1281
10769,383
22580,1236
16326,713
32346,829
29694,779
27413,787
6822,219
29968,1022
17348,964
7210,1015
1645312,-1645312
2793,531
8932,1575.5
2314,746
2830,451
4448,370
3128,366.5
49921,6156
6928,2490
673,431
2460,775.5
11629,3174
6943,996
3940,756
7469,2069
37104,4335
6835,750
2627,4803.833333
2025,554
8671,3601
7439,692
12369,2293.5
2189,400
4358,1190
3686,1309.5
8931,858
12329,1079
14037,2379
8655,2453
2819,551
12296,2841
5401,1355
1228,460.5
1765244,-1765244
32,
4,484.5
3876,356
4395,1029
4167,214
4853,166
4707,424
65960,5466
12646,2202
1639,475
3914,595
20766,2543
9888,1126
11978,1594
47071,3706
9407,1123
3253,305
3068,508
18198,2139.5
9906,810
18350,1486
3357,452
6790,852
9958,1995
10681,715
15900,907
20871,1465
15751,1587
3976,423
19057,1922
9279,1365
2519,529.5
1724794,-1724794
5873,449
14811,647
8697,761
5042,187.5
8312,780
103334,6703
22611,1111
3695,401
7183,682
35124,1891
15173,1159
9917,598
20540,2010
66164,3796
16842,1233
4545,219
4824,304.5
31684,3190
14075,877
25717,953
7070,675
9574,419
19883,1304
14614,608
20665,694
27745,856
25270,969
6307,143
27298,1221
15203,1042
5843,577
6089,379
